rep,ID,uid,TIME,y1,IFN_dose,ARMTYPE,IFN
31,1,1_rep31,0,100.168,100,ifn alpha,.
31,1,1_rep31,24,78.1252,100,ifn alpha,.
31,1,1_rep31,0,.,100,ifn alpha,100
31,1,1_rep31,24,.,100,ifn alpha,100
32,1,1_rep32,0,99.817,100,ifn alpha,.
32,1,1_rep32,24,76.2558,100,ifn alpha,.
32,1,1_rep32,0,.,100,ifn alpha,100
32,1,1_rep32,24,.,100,ifn alpha,100
33,1,1_rep33,0,99.9346,100,ifn alpha,.
33,1,1_rep33,24,64.4512,100,ifn alpha,.
33,1,1_rep33,0,.,100,ifn alpha,100
33,1,1_rep33,24,.,100,ifn alpha,100
34,1,1_rep34,0,99.9868,100,ifn alpha,.
34,1,1_rep34,24,73.1125,100,ifn alpha,.
34,1,1_rep34,0,.,100,ifn alpha,100
34,1,1_rep34,24,.,100,ifn alpha,100
35,1,1_rep35,0,100.248,100,ifn alpha,.
35,1,1_rep35,24,76.9902,100,ifn alpha,.
35,1,1_rep35,0,.,100,ifn alpha,100
35,1,1_rep35,24,.,100,ifn alpha,100
36,1,1_rep36,0,100.175,100,ifn alpha,.
36,1,1_rep36,24,81.712,100,ifn alpha,.
36,1,1_rep36,0,.,100,ifn alpha,100
36,1,1_rep36,24,.,100,ifn alpha,100
37,1,1_rep37,0,100.074,100,ifn alpha,.
37,1,1_rep37,24,72.6546,100,ifn alpha,.
37,1,1_rep37,0,.,100,ifn alpha,100
37,1,1_rep37,24,.,100,ifn alpha,100
38,1,1_rep38,0,99.9406,100,ifn alpha,.
38,1,1_rep38,24,65.1358,100,ifn alpha,.
38,1,1_rep38,0,.,100,ifn alpha,100
38,1,1_rep38,24,.,100,ifn alpha,100
39,1,1_rep39,0,100.089,100,ifn alpha,.
39,1,1_rep39,24,55.5458,100,ifn alpha,.
39,1,1_rep39,0,.,100,ifn alpha,100
39,1,1_rep39,24,.,100,ifn alpha,100
40,1,1_rep40,0,100.127,100,ifn alpha,.
40,1,1_rep40,24,69.7504,100,ifn alpha,.
40,1,1_rep40,0,.,100,ifn alpha,100
40,1,1_rep40,24,.,100,ifn alpha,100
41,1,1_rep41,0,99.8924,100,ifn alpha,.
41,1,1_rep41,24,77.5052,100,ifn alpha,.
41,1,1_rep41,0,.,100,ifn alpha,100
41,1,1_rep41,24,.,100,ifn alpha,100
42,1,1_rep42,0,100.151,100,ifn alpha,.
42,1,1_rep42,24,74.6658,100,ifn alpha,.
42,1,1_rep42,0,.,100,ifn alpha,100
42,1,1_rep42,24,.,100,ifn alpha,100
43,1,1_rep43,0,100.275,100,ifn alpha,.
43,1,1_rep43,24,58.3417,100,ifn alpha,.
43,1,1_rep43,0,.,100,ifn alpha,100
43,1,1_rep43,24,.,100,ifn alpha,100
44,1,1_rep44,0,100.014,100,ifn alpha,.
44,1,1_rep44,24,75.398,100,ifn alpha,.
44,1,1_rep44,0,.,100,ifn alpha,100
44,1,1_rep44,24,.,100,ifn alpha,100
45,1,1_rep45,0,100.021,100,ifn alpha,.
45,1,1_rep45,24,79.0517,100,ifn alpha,.
45,1,1_rep45,0,.,100,ifn alpha,100
45,1,1_rep45,24,.,100,ifn alpha,100
46,1,1_rep46,0,99.8379,100,ifn alpha,.
46,1,1_rep46,24,66.7765,100,ifn alpha,.
46,1,1_rep46,0,.,100,ifn alpha,100
46,1,1_rep46,24,.,100,ifn alpha,100
47,1,1_rep47,0,100.042,100,ifn alpha,.
47,1,1_rep47,24,58.6272,100,ifn alpha,.
47,1,1_rep47,0,.,100,ifn alpha,100
47,1,1_rep47,24,.,100,ifn alpha,100
48,1,1_rep48,0,99.9446,100,ifn alpha,.
48,1,1_rep48,24,72.3403,100,ifn alpha,.
48,1,1_rep48,0,.,100,ifn alpha,100
48,1,1_rep48,24,.,100,ifn alpha,100
49,1,1_rep49,0,100.106,100,ifn alpha,.
49,1,1_rep49,24,54.6767,100,ifn alpha,.
49,1,1_rep49,0,.,100,ifn alpha,100
49,1,1_rep49,24,.,100,ifn alpha,100
50,1,1_rep50,0,99.8193,100,ifn alpha,.
50,1,1_rep50,24,75.2247,100,ifn alpha,.
50,1,1_rep50,0,.,100,ifn alpha,100
50,1,1_rep50,24,.,100,ifn alpha,100
51,1,1_rep51,0,100.038,100,ifn alpha,.
51,1,1_rep51,24,62.3928,100,ifn alpha,.
51,1,1_rep51,0,.,100,ifn alpha,100
51,1,1_rep51,24,.,100,ifn alpha,100
52,1,1_rep52,0,99.8914,100,ifn alpha,.
52,1,1_rep52,24,79.234,100,ifn alpha,.
52,1,1_rep52,0,.,100,ifn alpha,100
52,1,1_rep52,24,.,100,ifn alpha,100
53,1,1_rep53,0,99.5927,100,ifn alpha,.
53,1,1_rep53,24,76.3886,100,ifn alpha,.
53,1,1_rep53,0,.,100,ifn alpha,100
53,1,1_rep53,24,.,100,ifn alpha,100
54,1,1_rep54,0,100.156,100,ifn alpha,.
54,1,1_rep54,24,63.5686,100,ifn alpha,.
54,1,1_rep54,0,.,100,ifn alpha,100
54,1,1_rep54,24,.,100,ifn alpha,100
55,1,1_rep55,0,100.02,100,ifn alpha,.
55,1,1_rep55,24,72.4293,100,ifn alpha,.
55,1,1_rep55,0,.,100,ifn alpha,100
55,1,1_rep55,24,.,100,ifn alpha,100
56,1,1_rep56,0,100.105,100,ifn alpha,.
56,1,1_rep56,24,74.5605,100,ifn alpha,.
56,1,1_rep56,0,.,100,ifn alpha,100
56,1,1_rep56,24,.,100,ifn alpha,100
57,1,1_rep57,0,99.9796,100,ifn alpha,.
57,1,1_rep57,24,64.7162,100,ifn alpha,.
57,1,1_rep57,0,.,100,ifn alpha,100
57,1,1_rep57,24,.,100,ifn alpha,100
58,1,1_rep58,0,100.367,100,ifn alpha,.
58,1,1_rep58,24,58.7955,100,ifn alpha,.
58,1,1_rep58,0,.,100,ifn alpha,100
58,1,1_rep58,24,.,100,ifn alpha,100
59,1,1_rep59,0,99.9958,100,ifn alpha,.
59,1,1_rep59,24,75.0389,100,ifn alpha,.
59,1,1_rep59,0,.,100,ifn alpha,100
59,1,1_rep59,24,.,100,ifn alpha,100
60,1,1_rep60,0,100.315,100,ifn alpha,.
60,1,1_rep60,24,65.0504,100,ifn alpha,.
60,1,1_rep60,0,.,100,ifn alpha,100
60,1,1_rep60,24,.,100,ifn alpha,100
61,1,1_rep61,0,99.6435,100,ifn alpha,.
61,1,1_rep61,24,74.5545,100,ifn alpha,.
61,1,1_rep61,0,.,100,ifn alpha,100
61,1,1_rep61,24,.,100,ifn alpha,100
62,1,1_rep62,0,99.7668,100,ifn alpha,.
62,1,1_rep62,24,69.3412,100,ifn alpha,.
62,1,1_rep62,0,.,100,ifn alpha,100
62,1,1_rep62,24,.,100,ifn alpha,100
63,1,1_rep63,0,99.858,100,ifn alpha,.
63,1,1_rep63,24,75.659,100,ifn alpha,.
63,1,1_rep63,0,.,100,ifn alpha,100
63,1,1_rep63,24,.,100,ifn alpha,100
64,1,1_rep64,0,100.257,100,ifn alpha,.
64,1,1_rep64,24,71.4992,100,ifn alpha,.
64,1,1_rep64,0,.,100,ifn alpha,100
64,1,1_rep64,24,.,100,ifn alpha,100
65,1,1_rep65,0,99.8804,100,ifn alpha,.
65,1,1_rep65,24,68.8579,100,ifn alpha,.
65,1,1_rep65,0,.,100,ifn alpha,100
65,1,1_rep65,24,.,100,ifn alpha,100
66,1,1_rep66,0,99.6699,100,ifn alpha,.
66,1,1_rep66,24,64.9227,100,ifn alpha,.
66,1,1_rep66,0,.,100,ifn alpha,100
66,1,1_rep66,24,.,100,ifn alpha,100
67,1,1_rep67,0,99.6809,100,ifn alpha,.
67,1,1_rep67,24,70.7648,100,ifn alpha,.
67,1,1_rep67,0,.,100,ifn alpha,100
67,1,1_rep67,24,.,100,ifn alpha,100
68,1,1_rep68,0,100.003,100,ifn alpha,.
68,1,1_rep68,24,70.4238,100,ifn alpha,.
68,1,1_rep68,0,.,100,ifn alpha,100
68,1,1_rep68,24,.,100,ifn alpha,100
69,1,1_rep69,0,100.092,100,ifn alpha,.
69,1,1_rep69,24,69.901,100,ifn alpha,.
69,1,1_rep69,0,.,100,ifn alpha,100
69,1,1_rep69,24,.,100,ifn alpha,100
70,1,1_rep70,0,100.155,100,ifn alpha,.
70,1,1_rep70,24,64.986,100,ifn alpha,.
70,1,1_rep70,0,.,100,ifn alpha,100
70,1,1_rep70,24,.,100,ifn alpha,100
71,1,1_rep71,0,100.282,100,ifn alpha,.
71,1,1_rep71,24,73.5359,100,ifn alpha,.
71,1,1_rep71,0,.,100,ifn alpha,100
71,1,1_rep71,24,.,100,ifn alpha,100
72,1,1_rep72,0,99.5757,100,ifn alpha,.
72,1,1_rep72,24,69.7113,100,ifn alpha,.
72,1,1_rep72,0,.,100,ifn alpha,100
72,1,1_rep72,24,.,100,ifn alpha,100
73,1,1_rep73,0,99.9485,100,ifn alpha,.
73,1,1_rep73,24,77.1726,100,ifn alpha,.
73,1,1_rep73,0,.,100,ifn alpha,100
73,1,1_rep73,24,.,100,ifn alpha,100
74,1,1_rep74,0,99.7668,100,ifn alpha,.
74,1,1_rep74,24,68.6511,100,ifn alpha,.
74,1,1_rep74,0,.,100,ifn alpha,100
74,1,1_rep74,24,.,100,ifn alpha,100
75,1,1_rep75,0,99.8586,100,ifn alpha,.
75,1,1_rep75,24,68.4924,100,ifn alpha,.
75,1,1_rep75,0,.,100,ifn alpha,100
75,1,1_rep75,24,.,100,ifn alpha,100
76,1,1_rep76,0,100.145,100,ifn alpha,.
